"Code","Title","Definition","Parent Codes","Ecf Case Types","Taxonomies"
"IM-01-02-00-00","Stopping deportation through Withholding of Removal","This category covers protections a person might have against being deported, particularly if their life or freedom would be threatened in the other country, on account of a protected ground, like race, religion, nationality, political opinion, or otherwise. This could be called 'withholding of removal' or 'non-refoulment'. This category covers how a person can try to use this process to stop their deportation or removal, and how the government will make a decision about it.","IM-01-00-00-00",,"NSMI v1 Taxonomy [1810504], NSMI v1 Taxonomy [1810850]"
"IM-01-03-00-00","Waivers of Inadmissibility, Deportation, or Removal","This category covers options for an immigrant to get a waiver from deportation or removal proceedings, or from decisions that they are inadmissible to the US. This waiver may provide them exceptions from the usual rules of deportability or inadmissibility","IM-01-00-00-00",,"NSMI v1 Taxonomy [1810503]"
"IM-02-01-00-00","Bond Hearing for a detained immigrant","This category covers the options for an immigrant who is being held in detention in the United States, to be released from detention through a bond hearing. This includes how to request a bond hearing, how the hearing will proceed, and what possible outcomes will result. It also covers the process of paying the bond and having this amount returned.","IM-02-00-00-00, IM-10-00-00-00",,"NSMI v1 Taxonomy [1810401]"
"IM-02-02-00-00","Parole for immigrants","This category covers options for parole, for immigrants who are detained in the U.S. This is about how an immigrant can request parole, in order to be able to leave detention for a temporary period while their case is pending in immigration court. It coves who is eligible, what documents and evidence are needed, and what the terms of the parole will be.","IM-02-00-00-00",,"NSMI v1 Taxonomy [1810402]"
"IM-06-01-00-00","Discrimination against Immigrants","This category covers what rights and protections an immigrant might have if they face discrimination at work, at school, in the business, with the government, or otherwise.","IM-06-00-00-00",,"NSMI v1 Taxonomy [1810600]"
"IM-04-02-00-00","Legalization of undocumented immigrant","This category covers options for an undocumented immigrant in the United States to get a legal status that lets them stay legally. This could be for an immigrant who has entered the country illegally, or one who has overstayed another visa. This includes options for Dreamers, or people who are on the Deferred Action for Childhood Arrivals (DACA) program. It also includes asylum, U Visas, and other options for people in special situations.","IM-04-00-00-00, IM-11-00-00-00",,
"IM-11-01-00-00","Immigrants working when undocumented or without authorization","This category covers rights and consequences of an immigrant in the US working, without legal status that allows them to work.","IM-11-00-00-00, IM-14-00-00-00",,"NSMI v1 Taxonomy [1811100]"
"IM-14-00-00-00","Work as an immigrant","This category covers options, rights, and rules for immigrants in the U.S. who want to work. This includes how to get authorization to work, the visa statuses that allow work, and rules and penalties for violating rules around work.","IM-00-00-00-00, WO-00-00-00-00",,
"IM-07-01-00-00","Sponsoring an immigrant for a work visa","This category covers options and procedure for a company or nonprofit that is considering sponsoring a work visa for immigrants to the United States. This covers what different work visas are, the process of being a sponsor, and what obligations and rules the sponsor must follow.","IM-07-00-00-00, IM-14-00-00-00, BU-00-00-00-00",,
"HO-02-09-00-00","Settlements, Mediation, and Diversion from Eviction","This category covers how an eviction may be averted, through a landlord and tenant settlement, mediation, diversion program, or prevention program.","HO-02-00-00-00, CO-07-01-00-00, HO-02-03-02-00",,
"MO-09-01-00-00","Income Taxes","This category covers how a person's income taxes are calculated and paid, to the federal and state government, based on money that they have made from wages, independent contractor work, royalties, interest, and other sources. It also covers what deductions and benefits might reduce the taxes owed.","MO-09-00-00-00",,"NSMI v1 Taxonomy [1291200]"
"MO-09-02-00-00","Earned Income Tax Credit (EITC)","This category covers the Earned Income Tax Credit to give low- to moderate-income people with money through a tax credit. This covers who is eligible for an EITC refund, how it is calculated, how family members and income levels affect it, and how to make a claim for EITC.","MO-09-00-00-00, BE-02-00-00-00",,"NSMI v1 Taxonomy [1291300], Legal Services Corporation Taxonomy [23], Legal Server Index Taxonomy [LS002-00024]"
"BU-05-04-01-00","Sales taxes","This category covers how a business can ensure they are complying with sales tax rules.","BU-05-04-00-00",,"NSMI v1 Taxonomy [1991000]"
"WO-10-01-00-00","Uniform Services Employment and Reemployment Rights Act for servicemembers","This category covers military servicemembers' and veterans' rights under the Uniform Services Employment and Reemployment Rights Act (USERRA). This includes obligations for employers to put servicemembers back in their civilian jobs after military service. It also is about how they can seek employment without discrimination based on their military service.","WO-10-00-00-00, WO-08-00-00-00",,"NSMI v1 Taxonomy [ 1770800], NSMI v1 Taxonomy [1770899]"
"WO-10-01-01-00","Reemployment after military service","This category covers military servicemembers' and veterans' reentry into the civilian workforce, and their rights around reemployment.","WO-10-00-00-00",,"NSMI v1 Taxonomy [1770820]"
"VE-01-01-00-00","Active duty claim for household goods","This category covers how a military servicemember can make claims for compensation for household goods that have been damaged, lost, or stolen.","VE-01-00-00-00",,"NSMI v1 Taxonomy [1771110]"
"VE-01-02-00-00","Active duty medical claims","This category covers how a military servicemember can make claims for compensation for medical issues, while they are on active duty.","VE-01-00-00-00",,"NSMI v1 Taxonomy [1771120]"
"VE-02-01-00-00","Administrative Discharge (being fired) from military service","This category covers situations in which a military servicemember is fired or given an administrative discharge. It includes how a person can dispute or appeal this discharge, or try to change its code or characterization.","VE-02-00-00-00",,"NSMI v1 Taxonomy [1770200], NSMI v1 Taxonomy [1770299]"
"VE-02-02-00-00","Medical Discharge from military","This category covers what happens if a military service member is discharged from the military as a medical discharge, including with help around discharge upgrades or appeals, and when you may still be able to get to benefits.","VE-02-00-00-00",,"NSMI v1 Taxonomy [1770211]"
"HO-06-05-02-00","Changing a rental agreement or lease","This category covers how a tenant and landlord may make changes to a lease or rental agreement. This could be through a mediation to stop an eviction, or it could be because of an emergency like COVID-19.","HO-06-05-00-00, HO-02-09-00-00",,
"GO-03-01-00-00","Voting Systems, Ballots, and Rules","This category covers rules about how a person can submit a ballot to vote in an election, including rules about mail-in ballots, in-person voting, provisional ballots, and other procedural concerns about participating in an election.","GO-03-00-00-00",,"NSMI v1 Taxonomy [ 2060300]"
"GO-03-02-00-00","Districting and Gerrymandering","This category covers how districts are created for elections, including concerns about gerrymandering or manipulation, and how to challenge districting plans.","GO-03-00-00-00",,"NSMI v1 Taxonomy [2060100]"
"BU-04-01-00-00","Copyright of written or artistic works","This category concerns how a person or business can protect their IP around written, dramatic, musical, software, and artistic works with copyright, or how another might challenge their copyright claims.","BU-04-00-00-00",,"NSMI v1 Taxonomy [2051741]"
